primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
DuckTales,tvSeries,1987,1990,23,"Adventure,Animation,Comedy",8.1,28791
Damien: Omen II,movie,1978,NA,107,Horror,6.3,28780
Vampire Hunter D: Bloodlust,movie,2000,NA,103,"Action,Animation,Fantasy",7.7,28728
Instructions Not Included,movie,2013,NA,115,"Comedy,Drama",7.5,28728
Sneaky Pete,tvSeries,2015,2019,60,"Crime,Drama",8.1,28726
Angels in the Outfield,movie,1994,NA,102,"Comedy,Family,Fantasy",6.2,28702
8 Women,movie,2002,NA,111,"Comedy,Crime,Musical",7.1,28700
Pontypool,movie,2008,NA,93,"Fantasy,Horror,Thriller",6.6,28698
Sliver,movie,1993,NA,107,"Drama,Thriller",5.1,28678
Mannequin,movie,1987,NA,90,"Comedy,Fantasy,Romance",5.9,28667
Them,movie,2006,NA,77,"Horror,Thriller",6.4,28665
Police Story,movie,1985,NA,100,"Action,Comedy,Crime",7.6,28662
Regular Show,tvSeries,2009,2017,23,"Action,Adventure,Animation",8.4,28662
Wizards of Waverly Place,tvSeries,2007,2012,22,"Adventure,Comedy,Drama",6.8,28661
Celeste & Jesse Forever,movie,2012,NA,92,"Comedy,Drama,Romance",6.6,28648
School for Scoundrels,movie,2006,NA,100,Comedy,5.9,28643
Anacondas: The Hunt for the Blood Orchid,movie,2004,NA,97,"Action,Adventure,Horror",4.7,28641
Loveless,movie,2017,NA,127,Drama,7.6,28641
Cyborg,movie,1989,NA,86,"Action,Sci-Fi,Thriller",5.1,28631
The Glass Castle,movie,2017,NA,127,"Biography,Drama",7.1,28627
An Unfinished Life,movie,2005,NA,108,"Drama,Family,Romance",7,28622
To Live and Die in L.A.,movie,1985,NA,116,"Action,Crime,Drama",7.3,28616
The Prophecy,movie,1995,NA,98,"Action,Crime,Drama",6.5,28607
Undisputed,movie,2002,NA,96,"Action,Crime,Drama",6.2,28573
Ken Park,movie,2002,NA,93,Drama,5.9,28562
Resident Evil: Degeneration,movie,2008,NA,97,"Action,Animation,Horror",6.5,28548
Last Man Standing,tvSeries,2011,NA,30,Comedy,7.6,28542
Fantasy Island,movie,2020,NA,109,"Action,Adventure,Fantasy",4.9,28536
Micmacs,movie,2009,NA,105,"Action,Comedy,Crime",7.2,28511
Batwoman,tvSeries,2019,NA,45,"Action,Adventure,Crime",3.6,28467
